	MA_SCP_Best	MA_SCP_Avg	MA_iSCP_Best	MA_iSCP_Avg	MA_SCP+_Best	MA_SCP+_Avg	MA_CB_Best	MA_CB_Avg	MA_ICP_Best	MA_ICP_Avg	MA_HYB_Best	MA_HYB_Avg	CPO_Best	CPO_Avg
i250_20_2	1897	1932.67	1895	1930.13	1905	1932.40	1892	1907.50	1885	1899.17	1882	1885.10	1974	1974.40
i250_20_3	2828	2887.77	2813	2826.83	2813	2824.87	2813	2816.23	2813	2816.03	2813	2813.00	2971	2971.00
i250_20_4	2567	2615.17	2525	2549.67	2525	2545.67	2525	2535.73	2525	2530.00	2525	2525.00	2774	2774.00
i250_20_5	1090	1136.70	1057	1086.83	1062	1086.23	1054	1064.97	1065	1077.77	1054	1054.13	1343	1343.00
i250_20_6	1644	1671.87	1614	1641.73	1626	1654.33	1598	1614.77	1642	1669.00	1583	1598.13	1786	1786.00
i250_20_7	1597	1648.97	1603	1649.23	1608	1663.30	1577	1600.27	1565	1570.47	1565	1568.93	1644	1644.00
i250_20_8	2216	2270.67	2190	2211.67	2190	2207.83	2190	2191.43	2193	2209.90	2190	2190.00	2408	2408.00
i250_20_9	1586	1617.53	1553	1565.60	1553	1568.23	1553	1553.87	1553	1575.00	1553	1553.00	1730	1730.00
i250_20_10	6562	6593.87	6568	6590.17	6571	6590.80	6546	6560.87	6532	6534.57	6531	6533.07	6632	6632.00
i250_30_1	3067	3167.07	3058	3117.03	3029	3123.67	3032	3066.23	3013	3018.93	3013	3013.07	3381	3381.00
i250_30_2	3111	3163.23	3073	3129.17	3092	3133.13	3066	3088.33	3060	3070.07	3054	3054.00	3348	3348.00
i250_30_3	4894	4979.53	4843	4921.50	4853	4949.27	4801	4843.03	4825	4887.93	4758	4783.33	5273	5273.00
i250_30_4	4166	4269.23	4194	4262.77	4146	4253.83	4068	4131.10	4210	4276.60	4098	4124.30	5099	5099.00
i250_30_5	4297	4399.93	4278	4370.50	4341	4393.80	4213	4272.00	4345	4399.43	4197	4236.73	4560	4560.00
i250_30_6	5095	5135.17	5092	5129.97	5093	5134.63	5035	5061.80	5108	5154.03	5034	5057.27	5333	5333.00
i250_30_7	3667	3764.20	3669	3728.20	3657	3720.37	3648	3675.20	3641	3643.80	3641	3641.00	3990	3990.00
i250_30_8	703	749.30	704	722.30	704	720.00	686	698.43	686	686.00	686	686.00	803	803.00
i250_30_9	1534	1587.17	1515	1557.03	1518	1554.33	1506	1528.10	1502	1509.40	1502	1502.00	1808	1808.00
i250_30_10	5301	5390.80	5237	5322.07	5285	5359.03	5227	5273.20	5246	5309.03	5197	5216.97	5600	5600.00
i500_10_1	4824	5033.13	4614	4620.03	4614	4616.10	4614	4614.30	4629	4691.53	4614	4614.00	4791	4791.00
i500_10_2	872	1009.27	822	825.57	822	826.70	822	822.00	840	844.27	822	822.00	865	865.00
i500_10_3	979	1269.30	951	952.63	951	955.00	951	951.63	975	982.77	951	951.03	1109	1109.00
i500_10_4	2117	2145.20	2119	2142.73	2124	2146.27	2116	2128.10	2128	2137.63	2102	2106.83	2226	2226.00
i500_10_5	971	1176.13	610	612.10	610	610.13	610	610.00	696	761.77	610	610.00	675	675.00
i500_10_6	6219	6544.27	5981	6012.47	5981	6005.03	5981	5989.50	6037	6077.43	5981	5981.00	6312	6312.00
i500_10_7	2814	2923.73	2781	2823.20	2792	2839.30	2775	2793.90	2906	2980.93	2768	2779.20	3261	3261.00
i500_10_8	4521	4710.70	4460	4465.63	4460	4464.13	4460	4460.00	4466	4488.87	4460	4460.00	4688	4688.00
i500_10_9	467	508.67	462	462.30	462	462.77	462	462.13	467	468.20	462	462.00	497	497.00
i500_10_10	2074	2178.73	2079	2163.87	2057	2122.13	2021	2065.07	2103	2148.53	1998	2009.57	2227	2227.00
i500_20_1	7698	7800.90	7684	7749.03	7739	7791.27	7587	7621.67	8191	8306.23	7649	7682.50	8212	8212.00
i500_20_2	819	961.30	795	806.50	796	810.30	790	791.37	795	812.27	790	790.00	899	899.00
i500_20_3	9113	9174.00	9080	9153.33	9103	9165.53	9014	9066.53	8984	9012.20	8941	8955.20	9440	9440.00
i500_20_4	1369	1537.77	1274	1287.67	1274	1292.37	1272	1273.57	1272	1288.30	1272	1272.00	1495	1495.00
i500_20_5	1837	1902.10	1848	1903.03	1831	1891.50	1784	1802.33	1749	1782.37	1719	1727.47	1859	1859.00
i500_20_6	9317	9498.27	9259	9400.73	9276	9426.73	9134	9202.07	9697	9810.17	9110	9163.80	9349	9349.00
i500_20_7	561	697.53	530	537.77	531	542.07	523	525.27	523	525.40	523	523.00	626	626.00
i500_20_8	3388	3508.20	3210	3251.27	3212	3250.97	3180	3193.00	3202	3220.03	3180	3180.00	3536	3536.00
i500_20_9	6493	6577.30	6495	6561.37	6495	6559.17	6391	6438.37	6345	6381.83	6291	6304.83	6614	6650.23
i500_20_10	5788	5883.77	5743	5839.80	5750	5825.20	5640	5689.13	6105	6221.73	5661	5696.40	6030	6030.00
i500_30_1	2803	3022.47	2767	2812.83	2791	2820.93	2692	2718.97	2796	2837.73	2670	2671.43	3064	3080.00
i500_30_2	538	600.77	502	523.00	502	528.07	479	487.37	480	505.70	477	477.00	613	614.87
i500_30_3	6122	6229.43	6145	6190.17	6147	6201.67	5970	5995.30	6208	6268.77	5975	6009.20	6317	6317.00
i500_30_4	4472	4638.87	4393	4477.87	4419	4478.83	4349	4383.73	4403	4448.40	4307	4307.67	4787	4787.00
i500_30_5	6177	6377.87	6019	6108.73	6031	6130.13	5897	5961.43	5990	6031.40	5869	5869.33	6583	6583.00
i500_30_6	1773	1867.23	1787	1854.27	1769	1859.70	1663	1696.80	1704	1748.17	1614	1632.80	1838	1838.00
i500_30_7	4069	4228.43	3917	4000.43	3892	3983.77	3828	3873.07	3820	3867.20	3795	3795.00	4256	4256.00
i500_30_8	9181	9288.03	9121	9216.40	9126	9239.53	8813	8867.07	9732	9859.53	8946	8982.27	9360	9360.00
i500_30_9	953	1067.73	904	938.37	921	951.00	870	891.07	884	907.53	862	862.00	1099	1119.40
i500_30_10	380	414.87	376	389.43	379	389.80	360	369.00	352	352.43	352	352.00	482	482.00
i750_10_1	4402	4514.23	4363	4489.10	4389	4446.77	4361	4397.43	4952	5062.87	4379	4410.10	4670	4676.50
i750_10_2	8538	9558.67	7764	7846.70	7744	7779.87	7744	7778.30	7836	7948.17	7744	7744.00	8244	8244.00
i750_10_3	6471	7259.37	5819	5828.93	5821	5825.97	5821	5823.80	5949	6016.83	5819	5819.47	6051	6051.00
i750_10_4	5664	6245.70	5080	5104.10	5086	5110.20	5080	5091.07	5461	5550.50	5086	5093.20	5405	5405.00
i750_10_5	1534	1596.83	1535	1583.73	1542	1585.77	1520	1553.13	1763	1844.20	1517	1548.83	1655	1655.00
i750_10_6	9341	10128.90	7895	7956.13	7895	7923.27	7895	7913.47	8120	8219.90	7895	7895.00	8227	8227.00
i750_10_7	948	979.70	950	970.77	949	982.63	950	960.13	1069	1123.33	952	964.70	1039	1039.00
i750_10_8	8736	9816.73	8009	8139.53	7990	8042.97	7959	7992.50	8785	8887.53	7996	8011.33	8638	8638.00
i750_10_9	13022	13223.40	13000	13166.00	12951	13062.70	12859	12936.30	13621	13784.40	12837	12856.40	13594	13594.00
i750_10_10	4388	4771.13	3840	3862.47	3841	3850.63	3840	3842.73	4047	4109.53	3840	3843.53	4149	4149.00
i750_20_1	6104	6228.07	6020	6170.77	6081	6243.13	5977	6072.93	6038	6153.30	5891	5904.97	6100	6100.00
i750_20_2	772	883.30	706	710.93	706	712.07	700	700.93	700	712.90	700	700.00	889	889.00
i750_20_3	1451	1737.20	1320	1330.17	1324	1333.37	1314	1315.20	1315	1325.90	1314	1314.00	1593	1593.00
i750_20_4	9917	10142.70	9806	9993.87	9844	9995.63	9595	9688.73	10592	10725.30	9674	9714.37	10151	10151.00
i750_20_5	9613	10384.90	9126	9232.37	9124	9199.53	9073	9122.03	9104	9132.77	9073	9073.00	9927	9927.00
i750_20_6	12297	12979.60	11486	11663.00	11472	11608.60	11434	11524.80	11551	11618.20	11434	11436.50	12396	12396.00
i750_20_7	5096	5474.63	4874	4900.23	4877	4897.80	4855	4866.50	4909	4939.10	4855	4856.60	5175	5177.73
i750_20_8	11517	11725.10	11449	11557.50	11369	11559.10	11259	11328.90	12192	12336.00	11353	11402.00	11910	11910.00
i750_20_9	4644	5161.17	4400	4437.20	4411	4428.63	4399	4399.70	4438	4455.30	4393	4393.00	4812	4812.00
